row index,label,WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP
G_row 32,b,"[0.0, 0.0]","[0.20090752840042114, -0.15721191465854645]","[0.29706308245658875, -0.42751044034957886]","[0.1919766068458557, -0.6438822746276855]","[0.029355525970458984, -0.7402864098548889]","[0.16035626828670502, -0.9803442358970642]","[0.10060404241085052, -1.330747365951538]","[0.044734712690114975, -1.5370001792907715]","[-0.0101802172139287, -1.7159342765808105]","[0.0, -1.0]","[-0.0631641373038292, -1.3927161693572998]","[-0.11707888543605804, -1.6444728374481201]","[-0.16904889047145844, -1.8608022928237915]","[-0.1351921260356903, -0.9254064559936523]","[-0.18325965106487274, -1.2974495887756348]","[-0.22052796185016632, -1.5271925926208496]","[-0.26299116015434265, -1.7335299253463745]","[-0.2613281309604645, -0.7770867943763733]","[-0.28777748346328735, -1.0630983114242554]","[-0.30326327681541443, -1.2447251081466675]","[-0.3203345239162445, -1.4204747676849365]"
G_row 33,b,"[0.0, 0.0]","[0.20345206558704376, -0.1789260357618332]","[0.3089163303375244, -0.45748621225357056]","[0.16117769479751587, -0.6336298584938049]","[-0.006738278549164534, -0.6462910175323486]","[0.15739475190639496, -0.9816261529922485]","[0.10002066940069199, -1.3255696296691895]","[0.053372837603092194, -1.5320098400115967]","[0.008532950654625893, -1.7123794555664062]","[0.0, -1.0]","[-0.056555747985839844, -1.3866791725158691]","[-0.10006051510572433, -1.6411782503128052]","[-0.1397864669561386, -1.8607932329177856]","[-0.12871892750263214, -0.9270976781845093]","[-0.18034006655216217, -1.2961972951889038]","[-0.20899304747581482, -1.529111385345459]","[-0.23991335928440094, -1.7399367094039917]","[-0.24839496612548828, -0.7779333591461182]","[-0.2804062068462372, -1.0624744892120361]","[-0.2908632457256317, -1.2469455003738403]","[-0.3012847304344177, -1.4262785911560059]"
G_row 34,b,"[0.0, 0.0]","[0.2042011320590973, -0.1779419481754303]","[0.3060155510902405, -0.45977750420570374]","[0.14962582290172577, -0.6318137645721436]","[-0.022383373230695724, -0.6431896090507507]","[0.1583966612815857, -0.9825769662857056]","[0.100520059466362, -1.3310978412628174]","[0.053151994943618774, -1.5390480756759644]","[0.007208732888102531, -1.7201948165893555]","[0.0, -1.0]","[-0.057833023369312286, -1.3897359371185303]","[-0.10287107527256012, -1.6453981399536133]","[-0.14419923722743988, -1.8660677671432495]","[-0.12909124791622162, -0.9268476963043213]","[-0.1802339404821396, -1.2987234592437744]","[-0.2095898985862732, -1.5325130224227905]","[-0.24203439056873322, -1.7435201406478882]","[-0.24924452602863312, -0.7772022485733032]","[-0.2815135717391968, -1.064193844795227]","[-0.29270488023757935, -1.2480223178863525]","[-0.304196298122406, -1.4265706539154053]"
G_row 35,b,"[0.0, 0.0]","[0.20507127046585083, -0.18066339194774628]","[0.29203078150749207, -0.48589861392974854]","[0.11945416778326035, -0.6691440343856812]","[-0.058186933398246765, -0.655876636505127]","[0.15501119196414948, -0.9818475842475891]","[0.10839614272117615, -1.3300566673278809]","[0.06768611818552017, -1.5432239770889282]","[0.027204342186450958, -1.7320655584335327]","[0.0, -1.0]","[-0.050335098057985306, -1.391252875328064]","[-0.09220326691865921, -1.6540708541870117]","[-0.1305883526802063, -1.8849250078201294]","[-0.12748074531555176, -0.9215646386146545]","[-0.17782332003116608, -1.2975804805755615]","[-0.20697826147079468, -1.5409598350524902]","[-0.238124281167984, -1.7625423669815063]","[-0.24905350804328918, -0.7671200633049011]","[-0.28134214878082275, -1.0551056861877441]","[-0.2930521070957184, -1.244309663772583]","[-0.3071168065071106, -1.4284151792526245]"
G_row 36,b,"[0.0, 0.0]","[0.207166850566864, -0.16146257519721985]","[0.30939966440200806, -0.4605225622653961]","[0.15216509997844696, -0.6596037149429321]","[-0.022130031138658524, -0.6604132652282715]","[0.15551255643367767, -0.9799838662147522]","[0.10122980922460556, -1.3210986852645874]","[0.059042077511548996, -1.5268815755844116]","[0.019501054659485817, -1.7104456424713135]","[0.0, -1.0]","[-0.05607043206691742, -1.3878484964370728]","[-0.0964483991265297, -1.645342230796814]","[-0.1316537708044052, -1.8728697299957275]","[-0.12631647288799286, -0.9255722165107727]","[-0.17936719954013824, -1.2992777824401855]","[-0.20803724229335785, -1.5362094640731812]","[-0.23786620795726776, -1.7534444332122803]","[-0.24484792351722717, -0.773040771484375]","[-0.28154319524765015, -1.058000922203064]","[-0.2955440580844879, -1.2416691780090332]","[-0.3106239140033722, -1.420302391052246]"
G_row 37,b,"[0.0, 0.0]","[0.21053211390972137, -0.14164502918720245]","[0.3213523030281067, -0.44049569964408875]","[0.17789991199970245, -0.6472991704940796]","[-0.0011219022562727332, -0.6575698852539062]","[0.1538086086511612, -0.9794421195983887]","[0.10178513824939728, -1.3268831968307495]","[0.06054972857236862, -1.541660189628601]","[0.020592112094163895, -1.7309479713439941]","[0.0, -1.0]","[-0.054140541702508926, -1.3909786939620972]","[-0.09757056832313538, -1.6550973653793335]","[-0.13698063790798187, -1.8801288604736328]","[-0.12536269426345825, -0.9240281581878662]","[-0.18100816011428833, -1.2988706827163696]","[-0.21653449535369873, -1.540600299835205]","[-0.2502360939979553, -1.7594150304794312]","[-0.24475868046283722, -0.7700877785682678]","[-0.281894326210022, -1.0611289739608765]","[-0.29747283458709717, -1.2448153495788574]","[-0.31216830015182495, -1.4210221767425537]"
G_row 38,b,"[0.0, 0.0]","[0.2028714120388031, -0.14310520887374878]","[0.3137768507003784, -0.45597606897354126]","[0.16789619624614716, -0.6771087050437927]","[-0.016062477603554726, -0.6701087951660156]","[0.14854055643081665, -0.973105788230896]","[0.0993768572807312, -1.311076045036316]","[0.057175759226083755, -1.5214948654174805]","[0.015024028718471527, -1.710159182548523]","[0.0, -0.9999999403953552]","[-0.055827755481004715, -1.3910846710205078]","[-0.09449388086795807, -1.6608800888061523]","[-0.13040103018283844, -1.8886828422546387]","[-0.12334504723548889, -0.9314479231834412]","[-0.18137849867343903, -1.3108947277069092]","[-0.21290788054466248, -1.561264991760254]","[-0.2448529303073883, -1.780197024345398]","[-0.24029146134853363, -0.7876796126365662]","[-0.2767554223537445, -1.0840182304382324]","[-0.29730117321014404, -1.26987624168396]","[-0.3229881525039673, -1.4410985708236694]"
G_row 39,b,"[0.0, 0.0]","[0.19644795358181, -0.17148436605930328]","[0.3143092691898346, -0.4713221788406372]","[0.1607547551393509, -0.6769813299179077]","[-0.028713257983326912, -0.6682634353637695]","[0.15001626312732697, -0.9741972088813782]","[0.11374328285455704, -1.3146235942840576]","[0.08153963834047318, -1.5195577144622803]","[0.05196770280599594, -1.7069352865219116]","[0.0, -1.0]","[-0.040889255702495575, -1.400180697441101]","[-0.07628870755434036, -1.6663844585418701]","[-0.10813286900520325, -1.901551365852356]","[-0.12360493093729019, -0.9334186315536499]","[-0.16882862150669098, -1.3223278522491455]","[-0.193862646818161, -1.5646166801452637]","[-0.21940651535987854, -1.7861748933792114]","[-0.24472826719284058, -0.7897964119911194]","[-0.2796630263328552, -1.0853078365325928]","[-0.2877136170864105, -1.2730201482772827]","[-0.2971400320529938, -1.4567614793777466]"
G_row 40,b,"[0.0, 0.0]","[0.19690781831741333, -0.17586180567741394]","[0.31018856167793274, -0.47477883100509644]","[0.15242838859558105, -0.6823115944862366]","[-0.033912643790245056, -0.6747333407402039]","[0.15152478218078613, -0.9728625416755676]","[0.11461450159549713, -1.309535026550293]","[0.08157661557197571, -1.5134485960006714]","[0.05168396607041359, -1.700806975364685]","[0.0, -0.9999998807907104]","[-0.039208415895700455, -1.3985549211502075]","[-0.0749252587556839, -1.6658116579055786]","[-0.10636882483959198, -1.9043519496917725]","[-0.12506848573684692, -0.934819757938385]","[-0.1699652522802353, -1.3198727369308472]","[-0.19660843908786774, -1.5638794898986816]","[-0.22270013391971588, -1.788164734840393]","[-0.24851801991462708, -0.7920924425125122]","[-0.2847215235233307, -1.0866279602050781]","[-0.29415619373321533, -1.2753113508224487]","[-0.3040315508842468, -1.4605848789215088]"
G_row 41,b,"[0.0, 0.0]","[0.2073378711938858, -0.15581823885440826]","[0.30823156237602234, -0.4678118824958801]","[0.18004438281059265, -0.6930318474769592]","[0.009028234519064426, -0.6864432096481323]","[0.1486671417951584, -0.975996196269989]","[0.10360446572303772, -1.3058700561523438]","[0.06893836706876755, -1.5062514543533325]","[0.038235366344451904, -1.6884340047836304]","[0.0, -0.9999999403953552]","[-0.05108839273452759, -1.3860019445419312]","[-0.08633345365524292, -1.6457676887512207]","[-0.11875016987323761, -1.8761204481124878]","[-0.12204328179359436, -0.930544376373291]","[-0.16868339478969574, -1.3006792068481445]","[-0.19526058435440063, -1.5429860353469849]","[-0.22522886097431183, -1.7665292024612427]","[-0.2382621169090271, -0.7863560914993286]","[-0.2699701488018036, -1.0694353580474854]","[-0.2801266610622406, -1.2559775114059448]","[-0.2933215796947479, -1.4372743368148804]"
G_row 42,b,"[0.0, 0.0]","[0.20809364318847656, -0.17362093925476074]","[0.29818931221961975, -0.5039834976196289]","[0.16055820882320404, -0.7205578088760376]","[-0.010425958782434464, -0.6914013624191284]","[0.14783090353012085, -0.9838703274726868]","[0.10401275753974915, -1.3163583278656006]","[0.06622534990310669, -1.5167347192764282]","[0.02962862141430378, -1.6979801654815674]","[0.0, -1.0]","[-0.04449450969696045, -1.3842710256576538]","[-0.0816831886768341, -1.6442790031433105]","[-0.12033677101135254, -1.8747689723968506]","[-0.12081056088209152, -0.9250548481941223]","[-0.16623952984809875, -1.2925498485565186]","[-0.19294288754463196, -1.5286732912063599]","[-0.22663502395153046, -1.741795301437378]","[-0.23614077270030975, -0.7783127427101135]","[-0.26815325021743774, -1.061286449432373]","[-0.28000953793525696, -1.2483649253845215]","[-0.29609283804893494, -1.4294157028198242]"
G_row 43,b,"[0.0, 0.0]","[0.20845763385295868, -0.17136771976947784]","[0.3039710521697998, -0.47512051463127136]","[0.1480543315410614, -0.6881967186927795]","[-0.029724808409810066, -0.6870730519294739]","[0.16230139136314392, -0.9725203514099121]","[0.11333832889795303, -1.3228914737701416]","[0.06980088353157043, -1.5299365520477295]","[0.02803017571568489, -1.7128397226333618]","[0.0, -1.0000001192092896]","[-0.049751050770282745, -1.3997377157211304]","[-0.09347832202911377, -1.6626403331756592]","[-0.1343202143907547, -1.8929764032363892]","[-0.13242340087890625, -0.934943675994873]","[-0.18246938288211823, -1.314867377281189]","[-0.21148620545864105, -1.5590696334838867]","[-0.24311064183712006, -1.7778819799423218]","[-0.2576000988483429, -0.7943169474601746]","[-0.2943512499332428, -1.0867445468902588]","[-0.3094124495983124, -1.2751343250274658]","[-0.32565972208976746, -1.454775333404541]"
G_row 44,b,"[0.0, 0.0]","[0.20291352272033691, -0.1937093585729599]","[0.29163914918899536, -0.5017241835594177]","[0.14922209084033966, -0.709892988204956]","[-0.027048280462622643, -0.6919674277305603]","[0.15018098056316376, -0.9694476127624512]","[0.11716952919960022, -1.2953622341156006]","[0.08913103491067886, -1.4940299987792969]","[0.06530772149562836, -1.673607349395752]","[0.0, -1.0]","[-0.04346546530723572, -1.3693691492080688]","[-0.07258422672748566, -1.6245280504226685]","[-0.09597554057836533, -1.852894902229309]","[-0.1264234185218811, -0.9392551183700562]","[-0.16769254207611084, -1.2961608171463013]","[-0.18412448465824127, -1.5430254936218262]","[-0.19991560280323029, -1.766623616218567]","[-0.24941296875476837, -0.8023160696029663]","[-0.2804209291934967, -1.0845730304718018]","[-0.2893916070461273, -1.271966576576233]","[-0.2982215881347656, -1.4474490880966187]"
G_row 45,b,"[0.0, 0.0]","[0.20213079452514648, -0.20459488034248352]","[0.2965103089809418, -0.5299867987632751]","[0.14003966748714447, -0.7188620567321777]","[-0.04183841124176979, -0.675554633140564]","[0.16106247901916504, -0.9916906356811523]","[0.11801202595233917, -1.3292921781539917]","[0.06902212649583817, -1.5307472944259644]","[0.02336401678621769, -1.7020796537399292]","[0.0, -1.0]","[-0.04871005192399025, -1.3741015195846558]","[-0.09316393733024597, -1.6267833709716797]","[-0.13518749177455902, -1.8406370878219604]","[-0.13181281089782715, -0.9178216457366943]","[-0.18237611651420593, -1.2717723846435547]","[-0.21353445947170258, -1.506116509437561]","[-0.2493925243616104, -1.7088863849639893]","[-0.25634005665779114, -0.7629414200782776]","[-0.29041823744773865, -1.0305776596069336]","[-0.30446669459342957, -1.2141655683517456]","[-0.3212929368019104, -1.38520348072052]"
G_row 46,b,"[0.0, 0.0]","[0.21270374953746796, -0.19356821477413177]","[0.31211838126182556, -0.5268039703369141]","[0.15553760528564453, -0.71482914686203]","[-0.027738003060221672, -0.6734359264373779]","[0.15489643812179565, -0.987148106098175]","[0.1105186715722084, -1.3138229846954346]","[0.07552303373813629, -1.5167518854141235]","[0.04605679214000702, -1.697693109512329]","[0.0, -0.9999999403953552]","[-0.054205507040023804, -1.3811746835708618]","[-0.09104327112436295, -1.646859049797058]","[-0.11935627460479736, -1.8759591579437256]","[-0.12689222395420074, -0.9194977879524231]","[-0.17769071459770203, -1.2959752082824707]","[-0.20474040508270264, -1.554040789604187]","[-0.23094850778579712, -1.7796483039855957]","[-0.24309256672859192, -0.7620356678962708]","[-0.2726404070854187, -1.05427086353302]","[-0.28806960582733154, -1.242134928703308]","[-0.3071339428424835, -1.4149179458618164]"
G_row 47,b,"[0.0, 0.0]","[0.21206043660640717, -0.1788824498653412]","[0.307381272315979, -0.5041547417640686]","[0.17867381870746613, -0.7063762545585632]","[0.01007548812776804, -0.6690108180046082]","[0.146744504570961, -0.9872958660125732]","[0.09755494445562363, -1.309973955154419]","[0.0597541369497776, -1.5067379474639893]","[0.025465870276093483, -1.6857331991195679]","[0.0, -0.9999999403953552]","[-0.05757522955536842, -1.370732307434082]","[-0.09411494433879852, -1.6223134994506836]","[-0.12730729579925537, -1.8436930179595947]","[-0.11835677921772003, -0.9186306595802307]","[-0.169099822640419, -1.274133563041687]","[-0.19606824219226837, -1.5112298727035522]","[-0.22762416303157806, -1.725046157836914]","[-0.227130725979805, -0.7645763158798218]","[-0.26078635454177856, -1.0406683683395386]","[-0.2761002779006958, -1.2263940572738647]","[-0.29506048560142517, -1.403149127960205]"
G_row 48,b,"[0.0, 0.0]","[0.21544229984283447, -0.1378825157880783]","[0.32522937655448914, -0.45122286677360535]","[0.24399591982364655, -0.6875975728034973]","[0.07815179973840714, -0.6903907656669617]","[0.12962698936462402, -0.9904938340187073]","[0.07751159369945526, -1.3227256536483765]","[0.04813778027892113, -1.5171706676483154]","[0.01944413222372532, -1.698987364768982]","[0.0, -1.0]","[-0.053116023540496826, -1.3872565031051636]","[-0.08462405204772949, -1.6391806602478027]","[-0.1183881163597107, -1.8645262718200684]","[-0.10881999135017395, -0.9184930920600891]","[-0.15593495965003967, -1.2968723773956299]","[-0.18181800842285156, -1.5291272401809692]","[-0.2163824588060379, -1.7446565628051758]","[-0.2102540284395218, -0.7639939785003662]","[-0.24073955416679382, -1.057486653327942]","[-0.2562962770462036, -1.2422245740890503]","[-0.28037670254707336, -1.4207829236984253]"
G_row 49,b,"[0.0, 0.0]","[0.20818738639354706, -0.18655472993850708]","[0.30992430448532104, -0.528419554233551]","[0.1960933357477188, -0.7347667217254639]","[0.03707928955554962, -0.7036485075950623]","[0.12328172475099564, -0.9999814033508301]","[0.08856320381164551, -1.3249220848083496]","[0.06901010870933533, -1.5264333486557007]","[0.05136793479323387, -1.7092671394348145]","[0.0, -0.9999999403953552]","[-0.04242883622646332, -1.3782615661621094]","[-0.06490923464298248, -1.6408336162567139]","[-0.09013694524765015, -1.8706097602844238]","[-0.10154000669717789, -0.9032504558563232]","[-0.14311106503009796, -1.2800017595291138]","[-0.16311676800251007, -1.5280898809432983]","[-0.190904438495636, -1.755063772201538]","[-0.19607160985469818, -0.731077253818512]","[-0.22422796487808228, -1.0141656398773193]","[-0.23838001489639282, -1.2047234773635864]","[-0.2642692029476166, -1.3884179592132568]"
G_row 50,b,"[0.0, 0.0]","[0.2201617807149887, -0.1772657334804535]","[0.310010701417923, -0.5066694021224976]","[0.17933231592178345, -0.7123881578445435]","[0.005315128713846207, -0.6782415509223938]","[0.15028828382492065, -0.9816510677337646]","[0.10049261897802353, -1.316183090209961]","[0.06250064820051193, -1.5213940143585205]","[0.02889927849173546, -1.7059476375579834]","[0.0, -1.0000001192092896]","[-0.0636930838227272, -1.3848141431808472]","[-0.1024056226015091, -1.6440675258636475]","[-0.13442139327526093, -1.8712273836135864]","[-0.12143860012292862, -0.9190269708633423]","[-0.17979863286018372, -1.2955173254013062]","[-0.21005941927433014, -1.5412101745605469]","[-0.24089601635932922, -1.7652859687805176]","[-0.2305808961391449, -0.7616645097732544]","[-0.2742801308631897, -1.0464279651641846]","[-0.2948293089866638, -1.23793625831604]","[-0.31717488169670105, -1.4230046272277832]"
G_row 51,b,"[0.0, 0.0]","[0.2113954722881317, -0.17044013738632202]","[0.3099873661994934, -0.47413715720176697]","[0.15559343993663788, -0.6848325133323669]","[-0.024308009073138237, -0.6814806461334229]","[0.1622447371482849, -0.9660940766334534]","[0.12149456143379211, -1.3090076446533203]","[0.08054086565971375, -1.5195940732955933]","[0.04158223792910576, -1.7066664695739746]","[0.0, -1.0]","[-0.04933944344520569, -1.3965054750442505]","[-0.09064120799303055, -1.6634013652801514]","[-0.1286163181066513, -1.8971567153930664]","[-0.13239100575447083, -0.9329313039779663]","[-0.18382003903388977, -1.3115582466125488]","[-0.21429932117462158, -1.5579860210418701]","[-0.24648579955101013, -1.7804597616195679]","[-0.2576269507408142, -0.7878326773643494]","[-0.30007562041282654, -1.0743701457977295]","[-0.31724560260772705, -1.2660452127456665]","[-0.33443164825439453, -1.4504891633987427]"
G_row 52,c,"[0.0, 0.0]","[0.2505878806114197, -0.20017367601394653]","[0.4058736264705658, -0.4869270324707031]","[0.5390978455543518, -0.6770273447036743]","[0.6660312414169312, -0.8449867367744446]","[0.1007336676120758, -1.013517141342163]","[0.10674163699150085, -1.4123927354812622]","[0.27888473868370056, -1.4490646123886108]","[0.42936643958091736, -1.4016566276550293]","[0.0, -0.9999999403953552]","[0.0297106821089983, -1.4622907638549805]","[0.23978197574615479, -1.4955711364746094]","[0.40221619606018066, -1.417043685913086]","[-0.09036389738321304, -0.9370459914207458]","[-0.03338100016117096, -1.3672089576721191]","[0.1879807561635971, -1.4084242582321167]","[0.3624299168586731, -1.3441632986068726]","[-0.15485617518424988, -0.8207100629806519]","[-0.05171484500169754, -1.122081995010376]","[0.12079232186079025, -1.2251442670822144]","[0.27351534366607666, -1.249849796295166]"
G_row 53,c,"[0.0, 0.0]","[0.24429863691329956, -0.1968085616827011]","[0.3998754024505615, -0.4902074337005615]","[0.5297249555587769, -0.6818257570266724]","[0.6561822295188904, -0.8485798835754395]","[0.10229148715734482, -1.0154476165771484]","[0.09851670265197754, -1.4172183275222778]","[0.26846352219581604, -1.4529170989990234]","[0.42009326815605164, -1.4065405130386353]","[0.0, -1.0000001192092896]","[0.014499157667160034, -1.4615553617477417]","[0.2209721952676773, -1.4968385696411133]","[0.3848591148853302, -1.4219735860824585]","[-0.09274142235517502, -0.9353215098381042]","[-0.053441476076841354, -1.3657903671264648]","[0.16527758538722992, -1.405032992362976]","[0.34178632497787476, -1.3431942462921143]","[-0.16250276565551758, -0.8192270398139954]","[-0.06794613599777222, -1.1209698915481567]","[0.10237730294466019, -1.225710391998291]","[0.25485852360725403, -1.2550029754638672]"
G_row 54,c,"[0.0, 0.0]","[0.2504122257232666, -0.2141866683959961]","[0.3809049427509308, -0.5360386967658997]","[0.49134597182273865, -0.7627153992652893]","[0.6071410775184631, -0.9469446539878845]","[0.10229405760765076, -1.00771963596344]","[0.10797619819641113, -1.413540005683899]","[0.28051063418388367, -1.444629192352295]","[0.4248391091823578, -1.3899413347244263]","[0.0, -1.0]","[0.02083519846200943, -1.4629000425338745]","[0.23120839893817902, -1.4864227771759033]","[0.38906463980674744, -1.4059429168701172]","[-0.09712780267000198, -0.9434188008308411]","[-0.05070970579981804, -1.3713655471801758]","[0.1712156981229782, -1.398317575454712]","[0.3435784876346588, -1.3250577449798584]","[-0.17015832662582397, -0.8385933637619019]","[-0.06796383112668991, -1.133965253829956]","[0.10773296654224396, -1.227318525314331]","[0.2613871097564697, -1.2494580745697021]"
G_row 55,c,"[0.0, 0.0]","[0.24801020324230194, -0.19994355738162994]","[0.38266992568969727, -0.5199039578437805]","[0.49380168318748474, -0.7396477460861206]","[0.6096043586730957, -0.918271541595459]","[0.103922538459301, -1.0140821933746338]","[0.10151048004627228, -1.4216430187225342]","[0.2682175040245056, -1.460621953010559]","[0.4140457510948181, -1.4125237464904785]","[0.0, -0.9999999403953552]","[0.008728905580937862, -1.4689230918884277]","[0.2079375684261322, -1.5039759874343872]","[0.3639337718486786, -1.4335628747940063]","[-0.0986996442079544, -0.9343380331993103]","[-0.07214478403329849, -1.3762094974517822]","[0.13839763402938843, -1.4133692979812622]","[0.3093302547931671, -1.3509856462478638]","[-0.17577195167541504, -0.8168258666992188]","[-0.0874737799167633, -1.1149722337722778]","[0.07977815717458725, -1.2225556373596191]","[0.23052743077278137, -1.2615995407104492]"
G_row 56,c,"[0.0, 0.0]","[0.24375465512275696, -0.19719171524047852]","[0.38781628012657166, -0.4997396767139435]","[0.508338212966919, -0.6950700283050537]","[0.6352518200874329, -0.8584647178649902]","[0.10787405073642731, -1.0164477825164795]","[0.11323315650224686, -1.3916072845458984]","[0.26196300983428955, -1.4600934982299805]","[0.406907320022583, -1.4454624652862549]","[0.0, -1.0]","[0.02067536674439907, -1.4330388307571411]","[0.20485778152942657, -1.5035549402236938]","[0.370775431394577, -1.4554667472839355]","[-0.0955229178071022, -0.9284639954566956]","[-0.04942265897989273, -1.3508796691894531]","[0.14174100756645203, -1.436655044555664]","[0.3151921331882477, -1.417903184890747]","[-0.16026988625526428, -0.8030895590782166]","[-0.05357225611805916, -1.088151216506958]","[0.09068241715431213, -1.231656551361084]","[0.23010417819023132, -1.311283826828003]"
G_row 57,c,"[0.0, 0.0]","[0.2832089960575104, -0.23368829488754272]","[0.4495929181575775, -0.5436277389526367]","[0.6050702333450317, -0.7486639618873596]","[0.7614210844039917, -0.8568090796470642]","[0.0991177037358284, -1.0284854173660278]","[0.21354107558727264, -1.3579145669937134]","[0.4037773311138153, -1.419498324394226]","[0.5566162467002869, -1.403213381767273]","[0.0, -1.0000001192092896]","[0.1589382141828537, -1.397655963897705]","[0.3750329911708832, -1.4553711414337158]","[0.5381290912628174, -1.412356972694397]","[-0.056588489562273026, -0.913489580154419]","[0.13063876330852509, -1.283779501914978]","[0.34999722242355347, -1.3658208847045898]","[0.5226166844367981, -1.3516596555709839]","[-0.05635874718427658, -0.7743952870368958]","[0.1396481841802597, -1.0554720163345337]","[0.31581345200538635, -1.178807020187378]","[0.4655475914478302, -1.235622763633728]"
G_row 58,c,"[0.0, 0.0]","[0.3154156804084778, -0.2860805094242096]","[0.48158565163612366, -0.5820415019989014]","[0.6299320459365845, -0.755364179611206]","[0.7692071795463562, -0.8552656173706055]","[0.045773882418870926, -1.04389226436615]","[0.23766034841537476, -1.365511417388916]","[0.45084047317504883, -1.4105912446975708]","[0.6272777915000916, -1.3685683012008667]","[0.0, -1.0]","[0.2794526219367981, -1.4288675785064697]","[0.5001693367958069, -1.4401684999465942]","[0.6566203832626343, -1.3606489896774292]","[1.0468444997968618e-05, -0.9117509722709656]","[0.28559884428977966, -1.2658671140670776]","[0.5104179382324219, -1.3240742683410645]","[0.6753594279289246, -1.268594741821289]","[0.07407719641923904, -0.7735841870307922]","[0.3034333288669586, -1.048228144645691]","[0.4725324511528015, -1.159502625465393]","[0.6131190061569214, -1.2018601894378662]"
G_row 59,c,"[0.0, 0.0]","[0.27201923727989197, -0.2518911361694336]","[0.42291197180747986, -0.5374058485031128]","[0.558226466178894, -0.7205145359039307]","[0.6995733380317688, -0.8580453991889954]","[0.08488878607749939, -1.0039994716644287]","[0.1983887404203415, -1.3257437944412231]","[0.3749256134033203, -1.3923841714859009]","[0.516058087348938, -1.376571774482727]","[0.0, -1.0]","[0.157871812582016, -1.3990447521209717]","[0.35839635133743286, -1.4531923532485962]","[0.5096339583396912, -1.3970853090286255]","[-0.04879552498459816, -0.9449493885040283]","[0.12951605021953583, -1.3353979587554932]","[0.33227574825286865, -1.405509352684021]","[0.48905622959136963, -1.3707021474838257]","[-0.046392906457185745, -0.8401278853416443]","[0.14150479435920715, -1.114903450012207]","[0.29800406098365784, -1.233402132987976]","[0.4330015778541565, -1.2892898321151733]"
G_row 60,c,"[0.0, 0.0]","[0.278775155544281, -0.26410555839538574]","[0.42004042863845825, -0.5479326844215393]","[0.5466751456260681, -0.7358008027076721]","[0.6718201041221619, -0.8896677494049072]","[0.08923725038766861, -0.9996089339256287]","[0.17182596027851105, -1.3294740915298462]","[0.3371153473854065, -1.4093654155731201]","[0.48143675923347473, -1.4055553674697876]","[0.0, -0.9999999403953552]","[0.11500945687294006, -1.4094854593276978]","[0.3125872015953064, -1.478634238243103]","[0.4720330834388733, -1.4236303567886353]","[-0.06288549304008484, -0.9540432691574097]","[0.06523113697767258, -1.3632146120071411]","[0.27065178751945496, -1.4422000646591187]","[0.438702255487442, -1.4049358367919922]","[-0.07215896248817444, -0.8587641716003418]","[0.08992595970630646, -1.1522393226623535]","[0.24459171295166016, -1.2806545495986938]","[0.38378775119781494, -1.3371906280517578]"
G_row 61,c,"[0.0, 0.0]","[0.27281221747398376, -0.2690996527671814]","[0.3994109034538269, -0.6025691032409668]","[0.5236685276031494, -0.8324981927871704]","[0.6416135430335999, -1.0134127140045166]","[0.0927589014172554, -1.0013188123703003]","[0.1450195610523224, -1.326886773109436]","[0.2975512146949768, -1.43905508518219]","[0.43943002820014954, -1.4564340114593506]","[0.0, -1.0]","[0.06614954024553299, -1.4076484441757202]","[0.2566104233264923, -1.512203574180603]","[0.4252443313598633, -1.4802258014678955]","[-0.07447967678308487, -0.9576601386070251]","[0.01626637578010559, -1.3831905126571655]","[0.2259705811738968, -1.4877941608428955]","[0.40577536821365356, -1.4664671421051025]","[-0.10161130875349045, -0.8759340643882751]","[0.04816446453332901, -1.2023242712020874]","[0.21804560720920563, -1.3314875364303589]","[0.372513085603714, -1.3774915933609009]"
G_row 62,c,"[0.0, 0.0]","[0.25001806020736694, -0.2521529793739319]","[0.3801330626010895, -0.5924402475357056]","[0.49389511346817017, -0.8187007904052734]","[0.6144461035728455, -1.0093494653701782]","[0.10212448984384537, -1.014096975326538]","[0.14468540251255035, -1.360978364944458]","[0.2896987795829773, -1.4637699127197266]","[0.4246048927307129, -1.481726050376892]","[0.0, -1.0]","[0.03958599641919136, -1.4287493228912354]","[0.21403425931930542, -1.5430777072906494]","[0.3695261478424072, -1.5316617488861084]","[-0.08784616738557816, -0.9295945167541504]","[-0.03420333191752434, -1.3601078987121582]","[0.14489202201366425, -1.4918212890625]","[0.3082706332206726, -1.5134376287460327]","[-0.135909304022789, -0.8113908767700195]","[-0.01563824713230133, -1.1121408939361572]","[0.1298978477716446, -1.2746995687484741]","[0.2703165113925934, -1.3738380670547485]"
